Date,비트코인,금,기술주,경기방어주,경기민감주,부동산,금리,미국채,달러인덱스,CPI,GDP,유가,고용률,공포지수,실업률,통화량
2014-09-01,,,,,,,0.0,-0.1,0.0200671351476424,7.159100480080838e-05,0.0,-0.050480277948089,0.0021110225534757,-4.780000000000001,-0.1999999999999993,0.0035946115725551
2014-10-01,-0.16119296238115766,-0.03885414060545411,-0.026269031288547406,-0.0007985665889168603,-0.042492978383912416,-0.0019793336044203746,0.0,0.0,0.0369352389325758,-0.0001979139032411,0.0,-0.0234610417563496,0.0016766621525763,4.460000000000001,-0.2000000000000001,0.0064158291894147
2014-11-01,-0.1508439419405876,-0.035814260558514444,0.04310255921472028,0.04193614089164677,0.0349542542659631,-0.001509913299819532,0.0,-0.06,0.0154630946770533,-0.0018826601524659,0.0,-0.1319153625743884,0.002095896192336,-1.9800000000000004,0.0999999999999996,0.0035157127308536
2014-12-01,0.16422461269255995,0.04004783997249839,0.03362900274279079,0.04859775421458057,0.0428782793154332,-0.0011941552401812938,0.03,-0.1399999999999996,0.0065784730387086,-0.0030846094445592,0.0,-0.1242858956455502,0.001955885502177,-0.4400000000000013,-0.2000000000000001,0.0072047721931947
2015-01-01,-0.17138262346001887,-0.027996695883364175,-0.011213256169668395,-0.0028845428623915925,0.02012285719515905,-0.0012796943152734164,-0.0099999999999999,-0.1,0.0386556442143442,-0.0063703164417655,0.7805536420064683,-0.235720498695274,0.0014533641104557,3.5,0.1000000000000005,0.0074181693872317
2015-02-01,-0.27773197293934304,0.07990537514580853,-0.020823107894396897,-0.00969286282977988,-0.029937868254993893,0.00227993238406321,0.0,-0.4400000000000001,0.0366698161165954,0.0025346436802173,0.0,-0.0658194233687404,0.0018425246144215,1.6400000000000006,-0.2000000000000001,0.009917032864487
2015-03-01,0.14640570515159257,-0.05154479813379942,0.07220599151641527,0.04144101238766851,0.08544030958291438,0.00875687225409938,0.0,0.4000000000000001,0.0078640731740218,0.0026939517808124,0.0,0.0069035532994925,0.0006816874605011,-6.390000000000001,-0.0999999999999996,-0.0001596008299243
2015-04-01,-0.04969213488759894,-0.0037110342162307575,-0.028675361365815277,-0.018219318377323823,-0.009188109268519429,0.011221448078490681,0.0099999999999999,-0.2099999999999999,0.031378651997747,0.0010424788961589,-0.3121427872863578,0.0106876386368217,0.0019372281316747,2.0700000000000003,0.0,0.0028480693618309
2015-05-01,-0.061442493399348264,-0.02781224754982825,0.038076925162662034,0.00020478836950843515,0.017728897640288066,0.011067505310166759,0.0,0.25,-0.0307692188499312,0.0032977453412468,0.0,0.179169992019154,0.0024221649338507,-2.41,0.1999999999999993,0.0023038193135456
2015-06-01,-0.03943915686014998,0.011749722288739939,0.012562904808516961,-0.0004094928796377628,0.0022266232631598104,0.009299456464809897,0.01,0.0699999999999998,0.0212478378585994,0.0027679208104607,0.0,0.0192893401015228,0.0012081561135526,1.2700000000000014,-0.2999999999999998,0.0033767406094848
